id,gene_id,omim_id,created_at,updated_at,source
1,1081,632,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
2,1081,633,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
3,1000,634,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
4,1000,635,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
5,2686,636,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
6,1334,637,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
7,2201,638,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
8,2201,639,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
9,2201,640,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
10,2201,641,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
11,2201,642,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
12,3895,643,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
13,3085,644,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
14,3231,645,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
15,4029,646,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
16,78,647,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
17,657,648,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
18,657,649,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
19,657,650,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
20,657,651,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
21,657,652,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
22,657,653,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
23,757,654,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
24,757,655,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
25,357,656,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
26,2672,657,2021-01-18 07:05:25,2021-01-18 07:05:25,NULL
27,78,98,2021-01-21 11:45:39,2021-01-21 11:45:39,NULL
28,39,62,2021-01-21 11:52:11,2021-01-21 11:52:11,NULL
29,202,483,2021-01-21 11:52:11,2021-01-21 11:52:11,NULL
30,183,538,2021-01-21 11:52:11,2021-01-21 11:52:11,NULL
31,189,220,2021-01-21 11:52:11,2021-01-21 11:52:11,NULL
