id,phenotype_id,childhpo_id,created_at,updated_at
96,221,9593,2021-01-19 16:54:43,2021-01-19 16:54:43
97,9593,9594,2021-01-19 16:54:44,2021-01-19 16:54:44
98,221,9595,2021-01-19 16:54:47,2021-01-19 16:54:47
99,487,8657,2021-01-19 16:54:50,2021-01-19 16:54:50
100,8657,2362,2021-01-19 16:54:51,2021-01-19 16:54:51
101,8657,9596,2021-01-19 16:54:53,2021-01-19 16:54:53
102,8657,1875,2021-01-19 16:54:55,2021-01-19 16:54:55
103,8657,8658,2021-01-19 16:54:56,2021-01-19 16:54:56
104,8658,8659,2021-01-19 16:54:57,2021-01-19 16:54:57
105,8659,9597,2021-01-19 16:54:58,2021-01-19 16:54:58
106,8659,9598,2021-01-19 16:55:00,2021-01-19 16:55:00
107,8658,2639,2021-01-19 16:55:03,2021-01-19 16:55:03
108,8657,2185,2021-01-19 16:55:06,2021-01-19 16:55:06
109,8657,9219,2021-01-19 16:55:08,2021-01-19 16:55:08
110,8657,9203,2021-01-19 16:55:10,2021-01-19 16:55:10
111,8657,9599,2021-01-19 16:55:12,2021-01-19 16:55:12
112,487,2182,2021-01-19 16:55:15,2021-01-19 16:55:15
113,487,9600,2021-01-19 16:55:17,2021-01-19 16:55:17
114,487,2483,2021-01-19 16:55:19,2021-01-19 16:55:19
115,487,1985,2021-01-19 16:55:21,2021-01-19 16:55:21
116,487,357,2021-01-19 16:55:22,2021-01-19 16:55:22
117,487,2180,2021-01-19 16:55:24,2021-01-19 16:55:24
118,487,2559,2021-01-19 16:55:26,2021-01-19 16:55:26
119,487,3241,2021-01-19 16:55:28,2021-01-19 16:55:28
120,487,9601,2021-01-19 16:55:30,2021-01-19 16:55:30
121,487,790,2021-01-19 16:55:32,2021-01-19 16:55:32
122,790,2742,2021-01-19 16:55:33,2021-01-19 16:55:33
123,790,368,2021-01-19 16:55:35,2021-01-19 16:55:35
124,487,224,2021-01-19 16:55:38,2021-01-19 16:55:38
125,487,1470,2021-01-19 16:55:40,2021-01-19 16:55:40
126,1470,8214,2021-01-19 16:55:41,2021-01-19 16:55:41
127,1470,9602,2021-01-19 16:55:42,2021-01-19 16:55:42
128,1470,3281,2021-01-19 16:55:44,2021-01-19 16:55:44
129,1470,9603,2021-01-19 16:55:46,2021-01-19 16:55:46
130,487,2967,2021-01-19 16:55:49,2021-01-19 16:55:49
131,487,6242,2021-01-19 16:55:51,2021-01-19 16:55:51
132,487,9604,2021-01-19 16:55:53,2021-01-19 16:55:53
133,487,2181,2021-01-19 16:55:55,2021-01-19 16:55:55
134,487,2682,2021-01-19 16:55:57,2021-01-19 16:55:57
