id,hpo,sider,name,description,created_at,updated_at,related_to,gene_phenotype_relationships_count,disease_phenotype_relationships_count
53,HP:0002858,,Meningioma,,2020-12-24 16:25:58,2020-12-24 16:25:58,,37,7
54,HP:0000568,,Microphthalmia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,236,20
55,HP:0002667,,Nephroblastoma,,2020-12-24 16:25:58,2020-12-24 16:25:58,,46,3
56,HP:0001548,,Overgrowth,,2020-12-24 16:25:58,2020-12-24 16:25:58,,31,7
57,HP:0010442,,Polydactyly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,230,5
58,HP:0004481,,Progressive macrocephaly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,6,3
59,HP:0001250,,Seizure,,2020-12-24 16:25:58,2020-12-24 16:25:58,,1716,101
60,HP:0000319,,Smooth philtrum,,2020-12-24 16:25:58,2020-12-24 16:25:58,,143,10
61,HP:0001428,,Somatic mutation,,2020-12-24 16:25:58,2020-12-24 16:25:58,,160,8
62,HP:0003745,,Sporadic,,2020-12-24 16:25:58,2020-12-24 16:25:58,,109,18
63,HP:0001159,,Syndactyly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,367,14
64,HP:0001629,,Ventricular septal defect,,2020-12-24 16:25:59,2020-12-24 16:25:59,,388,20
65,HP:0001596,,Alopecia,,2020-12-24 16:25:59,2020-12-24 16:25:59,,194,77
66,HP:0009125,,Lipodystrophy,,2020-12-24 16:25:59,2020-12-24 16:25:59,,105,17
67,HP:0001012,,Multiple lipomas,,2020-12-24 16:25:59,2020-12-24 16:25:59,,39,12
68,HP:0000488,,Retinopathy,,2020-12-24 16:25:59,2020-12-24 16:25:59,,113,12
69,HP:0001482,,Subcutaneous nodule,Slightly elevated lesions on or in the skin with a diameter of over 5 mm.,2020-12-24 16:25:59,2021-01-19 17:00:27,skin,85,33
70,HP:0000991,,Xanthomatosis,"The presence of multiple xanthomas (xanthomata) in the skin. Xanthomas are yellowish, firm, lipid-laden nodules in the skin.",2020-12-24 16:25:59,2021-01-19 16:57:23,skin,27,5
71,HP:0000499,,Abnormal eyelash morphology,,2020-12-24 16:25:59,2020-12-24 16:25:59,,221,15
72,HP:0000614,,Abnormal nasolacrimal system morphology,,2020-12-24 16:25:59,2020-12-24 16:25:59,,59,7
73,HP:0001331,,Absent septum pellucidum,,2020-12-24 16:25:59,2020-12-24 16:25:59,,104,5
74,HP:0001274,,Agenesis of corpus callosum,,2020-12-24 16:25:59,2020-12-24 16:25:59,,291,9
75,HP:0002381,,Aphasia,,2020-12-24 16:25:59,2020-12-24 16:25:59,,77,8
76,HP:0012062,,Bone cyst,,2020-12-24 16:25:59,2020-12-24 16:25:59,,28,6
77,HP:0005306,,Capillary hemangioma,,2020-12-24 16:25:59,2020-12-24 16:25:59,,32,6
78,HP:0002514,,Cerebral calcification,,2020-12-24 16:25:59,2020-12-24 16:25:59,,131,18
79,HP:0002120,,Cerebral cortical atrophy,,2020-12-24 16:25:59,2020-12-24 16:25:59,,293,16
80,HP:0007957,,Corneal opacity,,2020-12-24 16:25:59,2020-12-24 16:25:59,,231,16
81,HP:0004493,,Craniofacial hyperostosis,,2020-12-24 16:25:59,2020-12-24 16:25:59,,29,6
82,HP:0002357,,Dysphasia,,2020-12-24 16:25:59,2020-12-24 16:25:59,,54,6
83,HP:0010529,,Echolalia,,2020-12-24 16:25:59,2020-12-24 16:25:59,,36,6
84,HP:0000612,,Iris coloboma,,2020-12-24 16:25:59,2020-12-24 16:25:59,,156,12
85,HP:0003552,,Muscle stiffness,,2020-12-24 16:25:59,2020-12-24 16:25:59,,73,3
86,HP:0002300,,Mutism,,2020-12-24 16:25:59,2020-12-24 16:25:59,,52,7
87,HP:0010622,,Neoplasm of the skeletal system,,2020-12-24 16:25:59,2020-12-24 16:25:59,,93,2
88,HP:0002797,,Osteolysis,,2020-12-24 16:25:59,2020-12-24 16:25:59,,75,26
89,HP:0002092,,Pulmonary arterial hypertension,,2020-12-24 16:25:59,2020-12-24 16:25:59,,127,21
90,HP:0002063,,Rigidity,,2020-12-24 16:25:59,2020-12-24 16:25:59,,181,2
91,HP:0001257,,Spasticity,,2020-12-24 16:25:59,2020-12-24 16:25:59,,807,19
92,HP:0012157,,Subcortical cerebral atrophy,,2020-12-24 16:25:59,2020-12-24 16:25:59,,26,2
