id,disease_id,name,description,created_at,updated_at,umlsid,phenotype_id
80,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C0265514,NULL
81,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C1859371,NULL
82,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C2676032,NULL
83,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C1856241,NULL
84,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C0795905,NULL
85,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C2673649,NULL
86,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C1857034,NULL
87,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C1275081,NULL
88,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C0406810,NULL
89,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C2607929,NULL
90,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C0220748,NULL
91,,,,2020-12-22 18:01:26,2020-12-22 18:01:26,C1859306,NULL
92,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C1836033,NULL
93,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0220722,NULL
94,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C1859312,NULL
95,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C2931277,NULL
96,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0238052,NULL
97,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C1855902,NULL
98,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C2931676,NULL
99,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0268238,NULL
100,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0007965,NULL
101,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0267034,NULL
102,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0265267,NULL
103,,,,2020-12-22 18:01:27,2020-12-22 18:01:27,C0393576,NULL
104,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0018203,NULL
105,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0410422,NULL
106,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C1864997,NULL
107,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0473586,NULL
108,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C1848029,NULL
109,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0162361,NULL
110,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0346068,NULL
