head,relation,tail
icd11:1209038539,is_a,icd11:1412960686
icd11:1166607941,is_a,icd11:1414797713
icd11:1952103404,is_a,icd11:1405407847
icd11:1740926441,is_a,icd11:1251112127
icd11:1740926441,is_a,icd11:709184369
icd11:1527981498,is_a,icd11:1475156994
icd11:1527981498,is_a,icd11:82201615
icd11:1811325382,is_a,icd11:1453850609
icd11:1499560303,is_a,icd11:970296337
icd11:1565320806,is_a,icd11:1189424097
icd11:745921582,is_a,icd11:1055252392
icd11:1280217391,is_a,icd11:1100654683
icd11:360453118,is_a,icd11:280360139
icd11:360453118,is_a,icd11:1556117837
icd11:1540615212,is_a,icd11:204420062
icd11:1338733466,is_a,icd11:1929272735
icd11:1193798597,is_a,icd11:141462889
icd11:2118237401,is_a,icd11:1189946017
icd11:773407463,is_a,icd11:1584947339
icd11:2106294878,is_a,icd11:625292625
icd11:1579898301,is_a,icd11:1833969739
icd11:1831158013,is_a,icd11:764709846
icd11:281473034,is_a,icd11:1878195719
icd11:778448276,is_a,icd11:1688094957
icd11:324878763,is_a,icd11:1615091898
icd11:1257855053,is_a,icd11:768286286
icd11:1564989811,is_a,icd11:1456138933
icd11:1564989811,is_a,icd11:455546556
icd11:944650339,is_a,icd11:1156567558
icd11:229304403,is_a,icd11:1811397628
icd11:1863924136,is_a,icd11:480002572
icd11:134590150,is_a,icd11:154731294
icd11:1132305449,is_a,icd11:81366265
icd11:122394301,is_a,icd11:1808014996
icd11:806314148,is_a,icd11:268810206
icd11:410058129,is_a,icd11:1861250844
icd11:152781398,is_a,icd11:1723545
icd11:565254051,is_a,icd11:213831678
icd11:911018470,is_a,icd11:1313691675
icd11:245221967,is_a,icd11:2018255084
icd11:1886891559,is_a,icd11:395565060
icd11:163283497,is_a,icd11:795969334
icd11:684964464,is_a,icd11:1959919171
icd11:335107804,is_a,icd11:536801158
icd11:1805507857,is_a,icd11:146824338
icd11:889434421,is_a,icd11:928435705
icd11:2132164995,is_a,icd11:2024159409
icd11:1668927157,is_a,icd11:707489522
icd11:1668927157,is_a,icd11:2115467890
icd11:1828328136,is_a,icd11:204002280
icd11:571134141,is_a,icd11:2070891383
icd11:1302834639,is_a,icd11:2142927078
icd11:1302834639,is_a,icd11:1546926458
icd11:1012745138,is_a,icd11:2064431086
icd11:916423568,is_a,icd11:440403304
icd11:395565060,is_a,icd11:108348777
icd11:1796624917,is_a,icd11:773281372
icd11:1145805364,is_a,icd11:1980336421
icd11:1443005663,is_a,icd11:98595592
icd11:37248895,is_a,icd11:416684379
icd11:828383694,is_a,icd11:1018027038
